Name,Species,Country,Latitude,Longitude,DateCollected
GBMIN12592-13|Zerynthia polyxena|COI-5P|KC119722,polyxena,France,43.21,6.05,4/1/07
GBMIN12593-13|Zerynthia polyxena|COI-5P|KC119720,polyxena,France,43.21,6.05,4/1/07
GBMIN12594-13|Zerynthia polyxena|COI-5P|KC119718,polyxena,Slovenia,45.6,15.25,5/5/05
GBMIN12602-13|Zerynthia polyxena|COI-5P|KC119725,polyxena,France,44.71,6.6,5/5/05
GBMIN12603-13|Zerynthia polyxena|COI-5P|KC119723,polyxena,Italy,45.44,8.4,3/31/08
GBMIN12604-13|Zerynthia polyxena|COI-5P|KC119721,polyxena,France,43.21,6.05,4/1/07
GBMIN12605-13|Zerynthia polyxena|COI-5P|KC119719,polyxena,France,43.21,6.05,4/1/07
GBMIN12606-13|Zerynthia polyxena|COI-5P|KC119717,polyxena,Italy,45.07,6.87,5/5/09
LEASS463-17|Zerynthia polyxena|COI-5P|MN141852,polyxena,Austria,48.5408,16.9389,5/6/16
LEASS464-17|Zerynthia polyxena|COI-5P|MN139017,polyxena,Austria,48.5408,16.9389,5/6/16
LEASS465-17|Zerynthia polyxena|COI-5P|MN143624,polyxena,Austria,48.5408,16.9389,5/6/16
BPAL2310-14|Lepidoptera|COI-5P,cerisy,Cyprus,34.7726773,32.3979052,4/22/97
BPAL2529-14|Lepidoptera|COI-5P,cerisy,Israel,32.6726875,35.0861238,4/16/85
EULEP5134-17|Zerynthia cerisy|COI-5P|MW502833,cerisy,Serbia,43.914,22.2613,6/25/16
EULEP5306-17|Zerynthia cerisy|COI-5P|MW503268,cerisy,Greece,37.6903242,26.9375352,3/29/09
EULEP5307-17|Zerynthia cerisy|COI-5P|MW503611,cerisy,Greece,37.6903242,26.9375352,3/29/09
EULEP5308-17|Zerynthia cerisy|COI-5P|MW500849,cerisy,Greece,37.6903242,26.9375352,3/29/09
EULEP5369-17|Zerynthia cerisy|COI-5P|MW501174,cerisy,Bulgaria,41.984,24.872,7/10/10
EULEP5432-17|Zerynthia cerisy|COI-5P|MW500714,cerisy,Bulgaria,41.985,24.876,4/26/11
EULEP5549-17|Zerynthia cerisy|COI-5P|MW503115,cerisy,Bulgaria,41.611,25.654,7/1/14
EULEP5550-17|Zerynthia cerisy|COI-5P|MW502071,cerisy,Bulgaria,41.611,25.654,7/1/14
EULEP5590-17|Zerynthia cerisy|COI-5P|MW500290,cerisy,Greece_Lesvos,39.255,26.086,5/6/10
EULEP5591-17|Zerynthia cerisy|COI-5P|MW503681,cerisy,Macedonia,41.676,21.798,4/5/12
EULEP5627-17|Zerynthia cerisy|COI-5P|MW501342,cerisy,Romania,44.601939,22.1674876,5/30/15
EULEP5628-17|Zerynthia cerisy|COI-5P|MW500793,cerisy,Romania,44.601939,22.1674876,5/30/15
EULEP5629-17|Zerynthia cerisy|COI-5P|MW499515,cerisy,Romania,44.601939,22.1674876,5/30/15
EULEP5630-17|Zerynthia cerisy|COI-5P|MW502599,cerisy,Romania,44.601939,22.1674876,5/30/15
EULEP5631-17|Zerynthia cerisy|COI-5P|MW499004,cerisy,Romania,45.414218,22.9117221,5/31/15
EZRMN410-09|Zerynthia cerisy|COI-5P|HQ003953,cerisy,Romania,44.061,27.649,5/23/07
VNMB892-10|Lepidoptera|COI-5P|HQ583957-SUPPRESSED,rumina,Tunisia,36.954,8.758,4/4/07
VNMB893-10|Lepidoptera|COI-5P|HQ583958-SUPPRESSED,rumina,Tunisia,36.954,8.758,4/2/07
VNMB894-10|Lepidoptera|COI-5P|HQ583959-SUPPRESSED,rumina,Tunisia,36.954,8.758,4/7/07
VNMB895-10|Lepidoptera|COI-5P|HQ583960-SUPPRESSED,rumina,Tunisia,36.954,8.758,4/6/07
VNMB896-10|Lepidoptera|COI-5P|HQ583961-SUPPRESSED,rumina,Tunisia,36.954,8.758,4/6/07
VNMB897-10|Lepidoptera|COI-5P|HQ583962-SUPPRESSED,rumina,Tunisia,36.954,8.758,4/4/07
WMB4356-14|Zerynthia rumina|COI-5P,rumina,Algeria,36.592,4.611,11/14/14
BPAL2313-14|Lepidoptera|COI-5P,cretica,Greece_Crete,35.3425312,23.9001965,5/7/98
BPAL2314-14|Lepidoptera|COI-5P,cretica,Greece_Crete,35.1652787,25.4465335,5/7/98
EULEP694-15|Zerynthia cretica|COI-5P|MW502205,cretica,Greece_Crete,35.31,23.81,4/5/12
EULEP699-15|Zerynthia cretica|COI-5P|MW503053,cretica,Greece_Crete,35.3,23.7,4/5/12
EULEP703-15|Zerynthia cretica|COI-5P|MW503269,cretica,Greece_Crete,35.23,24.7,4/6/12
EULEP708-15|Zerynthia cretica|COI-5P|MW499238,cretica,Greece_Crete,35.11,25.791,4/7/12
EULEP710-15|Zerynthia cretica|COI-5P|MW501249,cretica,Greece_Crete,35.153,25.941,4/7/12
EULEP711-15|Zerynthia cretica|COI-5P|MW502637,cretica,Greece_Crete,35.22,25.66,4/7/12
BIBSA003-14|Zerynthia cassandra|COI-5P|MN140651,cassandra,Italy,39.3225,16.4747,5/27/14
BIBSA004-14|Zerynthia cassandra|COI-5P|MN145134,cassandra,Italy,39.3225,16.4747,5/27/14
BIBSA020-14|Zerynthia cassandra|COI-5P|MN141813,cassandra,Italy,39.3225,16.4747,5/27/14
BIBSA1777-16|Zerynthia cassandra|COI-5P|MN141665,cassandra,Italy_Sicily,36.939,15.1817,3/26/16
BIBSA1791-16|Zerynthia cassandra|COI-5P|MN145035,cassandra,Italy_Sicily,36.9379,15.1432,3/29/16
BIBSA2464-20|Zerynthia cassandra|COI-5P,cassandra,Italy,43.73,11.03,4/28/19
BIBSA600-15|Zerynthia cassandra|COI-5P|MN139577,cassandra,Italy,39.3909,16.1047,5/6/15
BIBSA601-15|Zerynthia cassandra|COI-5P|MN145232,cassandra,Italy,39.164,16.3548,5/12/15
BIBSA665-15|Zerynthia cassandra|COI-5P|MN140625,cassandra,Italy,39.3885,16.602,6/6/15
EULEP607-15|Zerynthia cassandra|COI-5P|MN143053,cassandra,Italy_Sicily,37.649,14.965,4/12/11
EULEP800-15|Zerynthia cassandra|COI-5P|MH419650,cassandra,Italy,43.77,10.8,5/8/13
GBMIN12589-13|Zerynthia cassandra|COI-5P|KC119728,cassandra,Italy_Elba,42.752,10.205,4/13/09
GBMIN12598-13|Zerynthia cassandra|COI-5P|KC119710,cassandra,Italy_Sicily,37.649,14.965,4/12/11
GBMIN12599-13|Zerynthia cassandra|COI-5P|KC119708,cassandra,Italy_Sicily,37.84,13.425,4/11/11
GBMIN12609-13|Zerynthia cassandra|COI-5P|KC119711,cassandra,Italy_Sicily,37.649,14.965,4/12/11
GBMIN12610-13|Zerynthia cassandra|COI-5P|KC119709,cassandra,Italy_Sicily,37.649,14.965,4/12/11
GBMIN12611-13|Zerynthia cassandra|COI-5P|KC119707,cassandra,Italy,43.875,11.135,5/14/09
WMB153-11|Zerynthia cassandra|COI-5P|MH420322,cassandra,Italy_Sicily,37.649,14.965,4/12/11
WMB4793-14|Zerynthia cassandra|COI-5P|MH420028,cassandra,Italy,42.847,10.948,4/17/14
WMB5035-14|Zerynthia cassandra|COI-5P|MH419175,cassandra,Italy,42.66,11.09,4/17/14
WMB5036-14|Zerynthia cassandra|COI-5P|MH418710,cassandra,Italy,42.66,11.09,4/17/14
